2024-03-09 20:47:46,053 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Configure stats pid to 55779
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Loading settings from /Users/junyangsun/.config/wandb/settings
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Loading settings from /Users/junyangsun/Documents/GitHub/NextFramePred4Pong/wandb/settings
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_just_transformer.py', 'program_abspath': '/Users/junyangsun/Documents/GitHub/NextFramePred4Pong/train_just_transformer.py', 'program': 'train_just_transformer.py'}
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_init.py:_log_setup():526] Logging user logs to /Users/junyangsun/Documents/GitHub/NextFramePred4Pong/wandb/run-20240309_204746-jeut0jly/logs/debug.log
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/junyangsun/Documents/GitHub/NextFramePred4Pong/wandb/run-20240309_204746-jeut0jly/logs/debug-internal.log
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_init.py:init():566] calling init triggers
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 200, 'batch_size': 8, 'image_size': 32, 'N_input_frames': 4, 'N_predictions': 4}
2024-03-09 20:47:46,062 INFO    MainThread:55779 [wandb_init.py:init():616] starting backend
2024-03-09 20:47:46,063 INFO    MainThread:55779 [wandb_init.py:init():620] setting up manager
2024-03-09 20:47:46,080 INFO    MainThread:55779 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-09 20:47:46,083 INFO    MainThread:55779 [wandb_init.py:init():628] backend started and connected
2024-03-09 20:47:46,144 INFO    MainThread:55779 [wandb_init.py:init():720] updated telemetry
2024-03-09 20:47:46,218 INFO    MainThread:55779 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-09 20:47:46,730 INFO    MainThread:55779 [wandb_run.py:_on_init():2262] communicating current version
2024-03-09 20:47:50,675 INFO    MainThread:55779 [wandb_run.py:_on_init():2271] got version response 
2024-03-09 20:47:50,676 INFO    MainThread:55779 [wandb_init.py:init():804] starting run threads in backend
2024-03-09 20:47:53,472 INFO    MainThread:55779 [wandb_run.py:_console_start():2241] atexit reg
2024-03-09 20:47:53,472 INFO    MainThread:55779 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-09 20:47:53,472 INFO    MainThread:55779 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-09 20:47:53,472 INFO    MainThread:55779 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-09 20:47:53,473 INFO    MainThread:55779 [wandb_init.py:init():847] run started, returning control to user process
2024-03-09 20:49:42,919 WARNING MsgRouterThr:55779 [router.py:message_loop():77] message_loop has been closed
